mem,val
00,20
06,00
07,00
08,8d
09,01
0a,00
0b,00
0c,85
0d,01
0e,00
0f,00
10,7d
11,01
12,00
13,00
14,75
15,01
16,00
17,00
18,6d
19,01
1a,00
1b,00
1c,65
1d,01
1e,00
1f,00
20,5d
21,01
22,00
23,00
24,55
25,01
26,00
27,00
28,4d
29,01
2a,00
2b,00
2c,45
2d,01
2e,00
2f,00
30,3d
31,01
32,00
33,00
34,35
35,01
36,00
37,00
38,2d
39,01
3a,00
3b,00
3c,25
3d,01
3e,00
3f,00
40,1d
41,01
42,00
43,00
44,00
45,cd
46,00
47,00
48,00
49,cd
4a,00
4b,00
4c,00
4d,cd
4e,00
4f,00
50,00
51,cd
52,00
53,00
54,00
55,cd
56,00
57,00
58,00
59,cd
5a,00
5b,00
5c,00
5d,cd
5e,00
5f,00
60,00
61,cd
62,00
63,00
64,00
65,cd
66,00
67,00
68,00
69,cd
6a,00
6b,00
6c,00
6d,cd
6e,00
6f,00
70,00
71,cd
72,00
73,00
74,00
75,cd
76,00
77,00
78,00
79,cd
7a,00
fe,79
